metric,used_threshold,FAIL,PASS
BERT_similarity,0.1,0,10858
BERT_similarity,0.2,0,10858
BERT_similarity,0.3,0,10858
BERT_similarity,0.4,0,10858
BERT_similarity,0.5,3,10855
BERT_similarity,0.6,18,10840
BERT_similarity,0.7,27,10831
BERT_similarity,0.8,46,10812
BERT_similarity,0.9,686,10172
LDA_similarity,0.1,95,10763
LDA_similarity,0.2,217,10641
LDA_similarity,0.3,425,10433
LDA_similarity,0.4,716,10142
LDA_similarity,0.5,1144,9714
LDA_similarity,0.6,1757,9101
LDA_similarity,0.7,2767,8091
LDA_similarity,0.8,4278,6580
LDA_similarity,0.9,6730,4128
LSA_similarity,0.1,25,10833
LSA_similarity,0.2,31,10827
LSA_similarity,0.3,61,10797
LSA_similarity,0.4,190,10668
LSA_similarity,0.5,531,10327
LSA_similarity,0.6,1331,9527
LSA_similarity,0.7,2817,8041
LSA_similarity,0.8,5081,5777
LSA_similarity,0.9,8149,2709
